x,y,vx,vy,t
0.000,0.413,28.284,28.284,0.000
0.028,0.441,28.282,28.272,0.001
0.057,0.469,28.280,28.260,0.002
0.085,0.498,28.278,28.248,0.003
0.113,0.526,28.275,28.236,0.004
0.141,0.554,28.273,28.224,0.005
0.170,0.582,28.271,28.212,0.006
0.198,0.611,28.269,28.200,0.007
0.226,0.639,28.266,28.188,0.008
0.254,0.667,28.264,28.176,0.009
0.283,0.695,28.262,28.164,0.010
0.311,0.723,28.260,28.152,0.011
0.339,0.751,28.258,28.140,0.012
0.368,0.780,28.255,28.128,0.013
0.396,0.808,28.253,28.116,0.014
0.424,0.836,28.251,28.104,0.015
0.452,0.864,28.249,28.092,0.016
0.481,0.892,28.247,28.080,0.017
0.509,0.920,28.244,28.068,0.018
0.537,0.948,28.242,28.056,0.019
0.565,0.976,28.240,28.044,0.020
0.594,1.004,28.238,28.032,0.021
0.622,1.032,28.235,28.020,0.022
0.650,1.060,28.233,28.008,0.023
0.678,1.088,28.231,27.996,0.024
0.706,1.116,28.229,27.984,0.025
0.735,1.144,28.227,27.972,0.026
0.763,1.172,28.224,27.960,0.027
0.791,1.200,28.222,27.948,0.028
0.819,1.228,28.220,27.936,0.029
0.848,1.256,28.218,27.924,0.030
0.876,1.284,28.216,27.912,0.031
0.904,1.312,28.213,27.900,0.032
0.932,1.340,28.211,27.888,0.033
0.960,1.368,28.209,27.876,0.034
0.989,1.396,28.207,27.864,0.035
1.017,1.424,28.205,27.852,0.036
1.045,1.451,28.202,27.840,0.037
1.073,1.479,28.200,27.828,0.038
1.101,1.507,28.198,27.816,0.039
1.130,1.535,28.196,27.804,0.040
1.158,1.563,28.194,27.792,0.041
1.186,1.590,28.191,27.780,0.042
1.214,1.618,28.189,27.768,0.043
1.242,1.646,28.187,27.756,0.044
1.271,1.674,28.185,27.744,0.045
1.299,1.701,28.183,27.732,0.046
1.327,1.729,28.180,27.720,0.047
1.355,1.757,28.178,27.708,0.048
1.383,1.785,28.176,27.696,0.049
1.411,1.812,28.174,27.684,0.050
1.440,1.840,28.172,27.672,0.051
1.468,1.868,28.169,27.660,0.052
1.496,1.895,28.167,27.649,0.053
1.524,1.923,28.165,27.637,0.054
1.552,1.951,28.163,27.625,0.055
1.581,1.978,28.161,27.613,0.056
1.609,2.006,28.158,27.601,0.057
1.637,2.033,28.156,27.589,0.058
1.665,2.061,28.154,27.577,0.059
1.693,2.089,28.152,27.565,0.060
1.721,2.116,28.150,27.553,0.061
1.749,2.144,28.148,27.541,0.062
1.778,2.171,28.145,27.529,0.063
1.806,2.199,28.143,27.517,0.064
1.834,2.226,28.141,27.505,0.065
1.862,2.254,28.139,27.493,0.066
1.890,2.281,28.137,27.481,0.067
1.918,2.309,28.134,27.469,0.068
1.946,2.336,28.132,27.457,0.069
1.975,2.364,28.130,27.445,0.070
2.003,2.391,28.128,27.434,0.071
2.031,2.419,28.126,27.422,0.072
2.059,2.446,28.124,27.410,0.073
2.087,2.473,28.121,27.398,0.074
2.115,2.501,28.119,27.386,0.075
2.143,2.528,28.117,27.374,0.076
2.171,2.556,28.115,27.362,0.077
2.200,2.583,28.113,27.350,0.078
2.228,2.610,28.111,27.338,0.079
2.256,2.638,28.108,27.326,0.080
2.284,2.665,28.106,27.314,0.081
2.312,2.692,28.104,27.302,0.082
2.340,2.720,28.102,27.291,0.083
2.368,2.747,28.100,27.279,0.084
2.396,2.774,28.098,27.267,0.085
2.424,2.801,28.095,27.255,0.086
2.452,2.829,28.093,27.243,0.087
2.481,2.856,28.091,27.231,0.088
2.509,2.883,28.089,27.219,0.089
2.537,2.910,28.087,27.207,0.090
2.565,2.938,28.085,27.195,0.091
2.593,2.965,28.082,27.183,0.092
2.621,2.992,28.080,27.171,0.093
2.649,3.019,28.078,27.160,0.094
2.677,3.046,28.076,27.148,0.095
2.705,3.073,28.074,27.136,0.096
2.733,3.101,28.072,27.124,0.097
2.761,3.128,28.069,27.112,0.098
2.789,3.155,28.067,27.100,0.099
2.818,3.182,28.065,27.088,0.100
2.846,3.209,28.063,27.076,0.101
2.874,3.236,28.061,27.064,0.102
2.902,3.263,28.059,27.053,0.103
2.930,3.290,28.057,27.041,0.104
2.958,3.317,28.054,27.029,0.105
2.986,3.344,28.052,27.017,0.106
3.014,3.371,28.050,27.005,0.107
3.042,3.398,28.048,26.993,0.108
3.070,3.425,28.046,26.981,0.109
3.098,3.452,28.044,26.969,0.110
3.126,3.479,28.041,26.958,0.111
3.154,3.506,28.039,26.946,0.112
3.182,3.533,28.037,26.934,0.113
3.210,3.560,28.035,26.922,0.114
3.238,3.587,28.033,26.910,0.115
3.266,3.614,28.031,26.898,0.116
3.294,3.641,28.029,26.886,0.117
3.322,3.668,28.026,26.874,0.118
3.350,3.695,28.024,26.863,0.119
3.378,3.721,28.022,26.851,0.120
3.406,3.748,28.020,26.839,0.121
3.434,3.775,28.018,26.827,0.122
3.462,3.802,28.016,26.815,0.123
3.490,3.829,28.014,26.803,0.124
3.519,3.856,28.011,26.791,0.125
3.547,3.882,28.009,26.780,0.126
3.575,3.909,28.007,26.768,0.127
3.603,3.936,28.005,26.756,0.128
3.631,3.963,28.003,26.744,0.129
3.659,3.989,28.001,26.732,0.130
3.687,4.016,27.999,26.720,0.131
3.715,4.043,27.997,26.709,0.132
3.743,4.070,27.994,26.697,0.133
3.771,4.096,27.992,26.685,0.134
3.799,4.123,27.990,26.673,0.135
3.827,4.150,27.988,26.661,0.136
3.854,4.176,27.986,26.649,0.137
3.882,4.203,27.984,26.638,0.138
3.910,4.230,27.982,26.626,0.139
3.938,4.256,27.979,26.614,0.140
3.966,4.283,27.977,26.602,0.141
3.994,4.309,27.975,26.590,0.142
4.022,4.336,27.973,26.578,0.143
4.050,4.363,27.971,26.567,0.144
4.078,4.389,27.969,26.555,0.145
4.106,4.416,27.967,26.543,0.146
4.134,4.442,27.965,26.531,0.147
4.162,4.469,27.962,26.519,0.148
4.190,4.495,27.960,26.507,0.149
4.218,4.522,27.958,26.496,0.150
4.246,4.548,27.956,26.484,0.151
4.274,4.575,27.954,26.472,0.152
4.302,4.601,27.952,26.460,0.153
4.330,4.628,27.950,26.448,0.154
4.358,4.654,27.948,26.437,0.155
4.386,4.681,27.946,26.425,0.156
4.414,4.707,27.943,26.413,0.157
4.442,4.733,27.941,26.401,0.158
4.470,4.760,27.939,26.389,0.159
4.498,4.786,27.937,26.378,0.160
4.526,4.813,27.935,26.366,0.161
4.554,4.839,27.933,26.354,0.162
4.581,4.865,27.931,26.342,0.163
4.609,4.892,27.929,26.330,0.164
4.637,4.918,27.927,26.319,0.165
4.665,4.944,27.924,26.307,0.166
4.693,4.971,27.922,26.295,0.167
4.721,4.997,27.920,26.283,0.168
4.749,5.023,27.918,26.271,0.169
4.777,5.049,27.916,26.260,0.170
4.805,5.076,27.914,26.248,0.171
4.833,5.102,27.912,26.236,0.172
4.861,5.128,27.910,26.224,0.173
4.889,5.154,27.908,26.212,0.174
4.916,5.181,27.905,26.201,0.175
4.944,5.207,27.903,26.189,0.176
4.972,5.233,27.901,26.177,0.177
5.000,5.259,27.899,26.165,0.178
5.028,5.285,27.897,26.154,0.179
5.056,5.312,27.895,26.142,0.180
5.084,5.338,27.893,26.130,0.181
5.112,5.364,27.891,26.118,0.182
5.140,5.390,27.889,26.106,0.183
5.168,5.416,27.887,26.095,0.184
5.195,5.442,27.884,26.083,0.185
5.223,5.468,27.882,26.071,0.186
5.251,5.494,27.880,26.059,0.187
5.279,5.520,27.878,26.048,0.188
5.307,5.546,27.876,26.036,0.189
5.335,5.572,27.874,26.024,0.190
5.363,5.598,27.872,26.012,0.191
5.391,5.624,27.870,26.001,0.192
5.418,5.650,27.868,25.989,0.193
5.446,5.676,27.866,25.977,0.194
5.474,5.702,27.864,25.965,0.195
5.502,5.728,27.861,25.954,0.196
5.530,5.754,27.859,25.942,0.197
5.558,5.780,27.857,25.930,0.198
5.586,5.806,27.855,25.918,0.199
5.613,5.832,27.853,25.907,0.200
5.641,5.858,27.851,25.895,0.201
5.669,5.884,27.849,25.883,0.202
5.697,5.910,27.847,25.871,0.203
5.725,5.936,27.845,25.860,0.204
5.753,5.962,27.843,25.848,0.205
5.781,5.987,27.841,25.836,0.206
5.808,6.013,27.838,25.824,0.207
5.836,6.039,27.836,25.813,0.208
5.864,6.065,27.834,25.801,0.209
5.892,6.091,27.832,25.789,0.210
5.920,6.116,27.830,25.777,0.211
5.948,6.142,27.828,25.766,0.212
5.975,6.168,27.826,25.754,0.213
6.003,6.194,27.824,25.742,0.214
6.031,6.220,27.822,25.730,0.215
6.059,6.245,27.820,25.719,0.216
6.087,6.271,27.818,25.707,0.217
6.115,6.297,27.816,25.695,0.218
6.142,6.322,27.814,25.684,0.219
6.170,6.348,27.811,25.672,0.220
6.198,6.374,27.809,25.660,0.221
6.226,6.399,27.807,25.648,0.222
6.254,6.425,27.805,25.637,0.223
6.281,6.451,27.803,25.625,0.224
6.309,6.476,27.801,25.613,0.225
6.337,6.502,27.799,25.602,0.226
6.365,6.528,27.797,25.590,0.227
6.393,6.553,27.795,25.578,0.228
6.420,6.579,27.793,25.566,0.229
6.448,6.604,27.791,25.555,0.230
6.476,6.630,27.789,25.543,0.231
6.504,6.655,27.787,25.531,0.232
6.532,6.681,27.785,25.520,0.233
6.559,6.706,27.783,25.508,0.234
6.587,6.732,27.780,25.496,0.235
6.615,6.757,27.778,25.485,0.236
6.643,6.783,27.776,25.473,0.237
6.670,6.808,27.774,25.461,0.238
6.698,6.834,27.772,25.449,0.239
6.726,6.859,27.770,25.438,0.240
6.754,6.885,27.768,25.426,0.241
6.782,6.910,27.766,25.414,0.242
6.809,6.936,27.764,25.403,0.243
6.837,6.961,27.762,25.391,0.244
6.865,6.986,27.760,25.379,0.245
6.893,7.012,27.758,25.368,0.246
6.920,7.037,27.756,25.356,0.247
6.948,7.062,27.754,25.344,0.248
6.976,7.088,27.752,25.333,0.249
7.004,7.113,27.750,25.321,0.250
7.031,7.138,27.748,25.309,0.251
7.059,7.164,27.745,25.298,0.252
7.087,7.189,27.743,25.286,0.253
7.115,7.214,27.741,25.274,0.254
7.142,7.240,27.739,25.262,0.255
7.170,7.265,27.737,25.251,0.256
7.198,7.290,27.735,25.239,0.257
7.226,7.315,27.733,25.227,0.258
7.253,7.341,27.731,25.216,0.259
7.281,7.366,27.729,25.204,0.260
7.309,7.391,27.727,25.192,0.261
7.336,7.416,27.725,25.181,0.262
7.364,7.441,27.723,25.169,0.263
7.392,7.467,27.721,25.157,0.264
7.420,7.492,27.719,25.146,0.265
7.447,7.517,27.717,25.134,0.266
7.475,7.542,27.715,25.122,0.267
7.503,7.567,27.713,25.111,0.268
7.530,7.592,27.711,25.099,0.269
7.558,7.617,27.709,25.088,0.270
7.586,7.642,27.707,25.076,0.271
7.614,7.667,27.705,25.064,0.272
7.641,7.693,27.703,25.053,0.273
7.669,7.718,27.701,25.041,0.274
7.697,7.743,27.698,25.029,0.275
7.724,7.768,27.696,25.018,0.276
7.752,7.793,27.694,25.006,0.277
7.780,7.818,27.692,24.994,0.278
7.807,7.843,27.690,24.983,0.279
7.835,7.868,27.688,24.971,0.280
7.863,7.893,27.686,24.959,0.281
7.891,7.918,27.684,24.948,0.282
7.918,7.943,27.682,24.936,0.283
7.946,7.967,27.680,24.925,0.284
7.974,7.992,27.678,24.913,0.285
8.001,8.017,27.676,24.901,0.286
8.029,8.042,27.674,24.890,0.287
8.057,8.067,27.672,24.878,0.288
8.084,8.092,27.670,24.866,0.289
8.112,8.117,27.668,24.855,0.290
8.140,8.142,27.666,24.843,0.291
8.167,8.167,27.664,24.831,0.292
8.195,8.191,27.662,24.820,0.293
8.223,8.216,27.660,24.808,0.294
8.250,8.241,27.658,24.797,0.295
8.278,8.266,27.656,24.785,0.296
8.306,8.291,27.654,24.773,0.297
8.333,8.315,27.652,24.762,0.298
8.361,8.340,27.650,24.750,0.299
8.389,8.365,27.648,24.739,0.300
8.416,8.390,27.646,24.727,0.301
8.444,8.414,27.644,24.715,0.302
8.472,8.439,27.642,24.704,0.303
8.499,8.464,27.640,24.692,0.304
8.527,8.488,27.638,24.680,0.305
8.554,8.513,27.636,24.669,0.306
8.582,8.538,27.634,24.657,0.307
8.610,8.562,27.632,24.646,0.308
8.637,8.587,27.630,24.634,0.309
8.665,8.612,27.628,24.622,0.310
8.693,8.636,27.626,24.611,0.311
8.720,8.661,27.624,24.599,0.312
8.748,8.686,27.622,24.588,0.313
8.775,8.710,27.620,24.576,0.314
8.803,8.735,27.618,24.564,0.315
8.831,8.759,27.616,24.553,0.316
8.858,8.784,27.614,24.541,0.317
8.886,8.808,27.612,24.530,0.318
8.914,8.833,27.610,24.518,0.319
8.941,8.857,27.608,24.506,0.320
8.969,8.882,27.606,24.495,0.321
8.996,8.906,27.604,24.483,0.322
9.024,8.931,27.602,24.472,0.323
9.052,8.955,27.600,24.460,0.324
9.079,8.980,27.598,24.449,0.325
9.107,9.004,27.596,24.437,0.326
9.134,9.029,27.593,24.425,0.327
9.162,9.053,27.591,24.414,0.328
9.190,9.078,27.589,24.402,0.329
9.217,9.102,27.587,24.391,0.330
9.245,9.126,27.585,24.379,0.331
9.272,9.151,27.583,24.368,0.332
9.300,9.175,27.581,24.356,0.333
9.327,9.199,27.579,24.344,0.334
9.355,9.224,27.578,24.333,0.335
9.383,9.248,27.576,24.321,0.336
9.410,9.272,27.574,24.310,0.337
9.438,9.297,27.572,24.298,0.338
9.465,9.321,27.570,24.287,0.339
9.493,9.345,27.568,24.275,0.340
9.520,9.370,27.566,24.263,0.341
9.548,9.394,27.564,24.252,0.342
9.576,9.418,27.562,24.240,0.343
9.603,9.442,27.560,24.229,0.344
9.631,9.467,27.558,24.217,0.345
9.658,9.491,27.556,24.206,0.346
9.686,9.515,27.554,24.194,0.347
9.713,9.539,27.552,24.183,0.348
9.741,9.563,27.550,24.171,0.349
9.768,9.588,27.548,24.159,0.350
9.796,9.612,27.546,24.148,0.351
9.824,9.636,27.544,24.136,0.352
9.851,9.660,27.542,24.125,0.353
9.879,9.684,27.540,24.113,0.354
9.906,9.708,27.538,24.102,0.355
9.934,9.732,27.536,24.090,0.356
9.961,9.756,27.534,24.079,0.357
9.989,9.781,27.532,24.067,0.358
10.016,9.805,27.530,24.056,0.359
10.044,9.829,27.528,24.044,0.360
10.071,9.853,27.526,24.032,0.361
10.099,9.877,27.524,24.021,0.362
10.126,9.901,27.522,24.009,0.363
10.154,9.925,27.520,23.998,0.364
10.182,9.949,27.518,23.986,0.365
10.209,9.973,27.516,23.975,0.366
10.237,9.997,27.514,23.963,0.367
10.264,10.021,27.512,23.952,0.368
10.292,10.045,27.510,23.940,0.369
10.319,10.069,27.508,23.929,0.370
10.347,10.093,27.506,23.917,0.371
10.374,10.116,27.504,23.906,0.372
10.402,10.140,27.502,23.894,0.373
10.429,10.164,27.500,23.883,0.374
10.457,10.188,27.498,23.871,0.375
10.484,10.212,27.496,23.860,0.376
10.512,10.236,27.494,23.848,0.377
10.539,10.260,27.492,23.837,0.378
10.567,10.284,27.490,23.825,0.379
10.594,10.307,27.488,23.813,0.380
10.622,10.331,27.486,23.802,0.381
10.649,10.355,27.484,23.790,0.382
10.677,10.379,27.482,23.779,0.383
10.704,10.403,27.480,23.767,0.384
10.731,10.426,27.478,23.756,0.385
10.759,10.450,27.476,23.744,0.386
10.786,10.474,27.475,23.733,0.387
10.814,10.498,27.473,23.721,0.388
10.841,10.521,27.471,23.710,0.389
10.869,10.545,27.469,23.698,0.390
10.896,10.569,27.467,23.687,0.391
10.924,10.592,27.465,23.675,0.392
10.951,10.616,27.463,23.664,0.393
10.979,10.640,27.461,23.652,0.394
11.006,10.663,27.459,23.641,0.395
11.034,10.687,27.457,23.629,0.396
11.061,10.711,27.455,23.618,0.397
11.089,10.734,27.453,23.606,0.398
11.116,10.758,27.451,23.595,0.399
11.143,10.781,27.449,23.583,0.400
11.171,10.805,27.447,23.572,0.401
11.198,10.829,27.445,23.561,0.402
11.226,10.852,27.443,23.549,0.403
11.253,10.876,27.441,23.538,0.404
11.281,10.899,27.439,23.526,0.405
11.308,10.923,27.437,23.515,0.406
11.336,10.946,27.435,23.503,0.407
11.363,10.970,27.433,23.492,0.408
11.390,10.993,27.431,23.480,0.409
11.418,11.017,27.430,23.469,0.410
11.445,11.040,27.428,23.457,0.411
11.473,11.064,27.426,23.446,0.412
11.500,11.087,27.424,23.434,0.413
11.528,11.111,27.422,23.423,0.414
11.555,11.134,27.420,23.411,0.415
11.582,11.157,27.418,23.400,0.416
11.610,11.181,27.416,23.388,0.417
11.637,11.204,27.414,23.377,0.418
11.665,11.228,27.412,23.365,0.419
11.692,11.251,27.410,23.354,0.420
11.719,11.274,27.408,23.343,0.421
11.747,11.298,27.406,23.331,0.422
11.774,11.321,27.404,23.320,0.423
11.802,11.344,27.402,23.308,0.424
11.829,11.368,27.400,23.297,0.425
11.856,11.391,27.398,23.285,0.426
11.884,11.414,27.396,23.274,0.427
11.911,11.437,27.395,23.262,0.428
11.939,11.461,27.393,23.251,0.429
11.966,11.484,27.391,23.239,0.430
11.993,11.507,27.389,23.228,0.431
12.021,11.530,27.387,23.217,0.432
12.048,11.554,27.385,23.205,0.433
12.076,11.577,27.383,23.194,0.434
12.103,11.600,27.381,23.182,0.435
12.130,11.623,27.379,23.171,0.436
12.158,11.646,27.377,23.159,0.437
12.185,11.670,27.375,23.148,0.438
12.213,11.693,27.373,23.136,0.439
12.240,11.716,27.371,23.125,0.440
12.267,11.739,27.369,23.114,0.441
12.295,11.762,27.367,23.102,0.442
12.322,11.785,27.365,23.091,0.443
12.349,11.808,27.364,23.079,0.444
12.377,11.831,27.362,23.068,0.445
12.404,11.854,27.360,23.056,0.446
12.431,11.877,27.358,23.045,0.447
12.459,11.901,27.356,23.034,0.448
12.486,11.924,27.354,23.022,0.449
12.514,11.947,27.352,23.011,0.450
12.541,11.970,27.350,22.999,0.451
12.568,11.993,27.348,22.988,0.452
12.596,12.016,27.346,22.976,0.453
12.623,12.039,27.344,22.965,0.454
12.650,12.062,27.342,22.954,0.455
12.678,12.084,27.340,22.942,0.456
12.705,12.107,27.339,22.931,0.457
12.732,12.130,27.337,22.919,0.458
12.760,12.153,27.335,22.908,0.459
12.787,12.176,27.333,22.896,0.460
12.814,12.199,27.331,22.885,0.461
12.842,12.222,27.329,22.874,0.462
12.869,12.245,27.327,22.862,0.463
12.896,12.268,27.325,22.851,0.464
12.924,12.291,27.323,22.839,0.465
12.951,12.313,27.321,22.828,0.466
12.978,12.336,27.319,22.817,0.467
13.006,12.359,27.317,22.805,0.468
13.033,12.382,27.316,22.794,0.469
13.060,12.405,27.314,22.782,0.470
13.088,12.427,27.312,22.771,0.471
13.115,12.450,27.310,22.760,0.472
13.142,12.473,27.308,22.748,0.473
13.169,12.496,27.306,22.737,0.474
13.197,12.518,27.304,22.725,0.475
13.224,12.541,27.302,22.714,0.476
13.251,12.564,27.300,22.703,0.477
13.279,12.587,27.298,22.691,0.478
13.306,12.609,27.296,22.680,0.479
13.333,12.632,27.295,22.668,0.480
13.361,12.655,27.293,22.657,0.481
13.388,12.677,27.291,22.646,0.482
13.415,12.700,27.289,22.634,0.483
13.442,12.723,27.287,22.623,0.484
13.470,12.745,27.285,22.611,0.485
13.497,12.768,27.283,22.600,0.486
13.524,12.790,27.281,22.589,0.487
13.552,12.813,27.279,22.577,0.488
13.579,12.836,27.277,22.566,0.489
13.606,12.858,27.275,22.555,0.490
13.633,12.881,27.274,22.543,0.491
13.661,12.903,27.272,22.532,0.492
13.688,12.926,27.270,22.520,0.493
13.715,12.948,27.268,22.509,0.494
13.742,12.971,27.266,22.498,0.495
13.770,12.993,27.264,22.486,0.496
13.797,13.016,27.262,22.475,0.497
13.824,13.038,27.260,22.464,0.498
13.852,13.061,27.258,22.452,0.499
13.879,13.083,27.257,22.441,0.500
13.906,13.106,27.255,22.429,0.501
13.933,13.128,27.253,22.418,0.502
13.961,13.150,27.251,22.407,0.503
13.988,13.173,27.249,22.395,0.504
14.015,13.195,27.247,22.384,0.505
14.042,13.218,27.245,22.373,0.506
14.070,13.240,27.243,22.361,0.507
14.097,13.262,27.241,22.350,0.508
14.124,13.285,27.239,22.339,0.509
14.151,13.307,27.238,22.327,0.510
14.178,13.329,27.236,22.316,0.511
14.206,13.352,27.234,22.304,0.512
14.233,13.374,27.232,22.293,0.513
14.260,13.396,27.230,22.282,0.514
14.287,13.419,27.228,22.270,0.515
14.315,13.441,27.226,22.259,0.516
14.342,13.463,27.224,22.248,0.517
14.369,13.485,27.223,22.236,0.518
14.396,13.508,27.221,22.225,0.519
14.424,13.530,27.219,22.214,0.520
14.451,13.552,27.217,22.202,0.521
14.478,13.574,27.215,22.191,0.522
14.505,13.596,27.213,22.180,0.523
14.532,13.619,27.211,22.168,0.524
14.560,13.641,27.209,22.157,0.525
14.587,13.663,27.207,22.146,0.526
14.614,13.685,27.206,22.134,0.527
14.641,13.707,27.204,22.123,0.528
14.668,13.729,27.202,22.112,0.529
14.696,13.751,27.200,22.100,0.530
14.723,13.774,27.198,22.089,0.531
14.750,13.796,27.196,22.078,0.532
14.777,13.818,27.194,22.066,0.533
14.804,13.840,27.192,22.055,0.534
14.832,13.862,27.191,22.044,0.535
14.859,13.884,27.189,22.032,0.536
14.886,13.906,27.187,22.021,0.537
14.913,13.928,27.185,22.010,0.538
14.940,13.950,27.183,21.998,0.539
14.968,13.972,27.181,21.987,0.540
14.995,13.994,27.179,21.976,0.541
15.022,14.016,27.177,21.964,0.542
15.049,14.038,27.176,21.953,0.543
15.076,14.060,27.174,21.942,0.544
15.103,14.082,27.172,21.930,0.545
15.131,14.104,27.170,21.919,0.546
15.158,14.126,27.168,21.908,0.547
15.185,14.147,27.166,21.897,0.548
15.212,14.169,27.164,21.885,0.549
15.239,14.191,27.163,21.874,0.550
15.266,14.213,27.161,21.863,0.551
15.294,14.235,27.159,21.851,0.552
15.321,14.257,27.157,21.840,0.553
15.348,14.279,27.155,21.829,0.554
15.375,14.301,27.153,21.817,0.555
15.402,14.322,27.151,21.806,0.556
15.429,14.344,27.149,21.795,0.557
15.457,14.366,27.148,21.783,0.558
15.484,14.388,27.146,21.772,0.559
15.511,14.410,27.144,21.761,0.560
15.538,14.431,27.142,21.750,0.561
15.565,14.453,27.140,21.738,0.562
15.592,14.475,27.138,21.727,0.563
15.619,14.496,27.136,21.716,0.564
15.647,14.518,27.135,21.704,0.565
15.674,14.540,27.133,21.693,0.566
15.701,14.562,27.131,21.682,0.567
15.728,14.583,27.129,21.671,0.568
15.755,14.605,27.127,21.659,0.569
15.782,14.627,27.125,21.648,0.570
15.809,14.648,27.123,21.637,0.571
15.836,14.670,27.122,21.625,0.572
15.864,14.692,27.120,21.614,0.573
15.891,14.713,27.118,21.603,0.574
15.918,14.735,27.116,21.592,0.575
15.945,14.756,27.114,21.580,0.576
15.972,14.778,27.112,21.569,0.577
15.999,14.799,27.111,21.558,0.578
16.026,14.821,27.109,21.546,0.579
16.053,14.843,27.107,21.535,0.580
16.080,14.864,27.105,21.524,0.581
16.108,14.886,27.103,21.513,0.582
16.135,14.907,27.101,21.501,0.583
16.162,14.929,27.099,21.490,0.584
16.189,14.950,27.098,21.479,0.585
16.216,14.972,27.096,21.468,0.586
16.243,14.993,27.094,21.456,0.587
16.270,15.015,27.092,21.445,0.588
16.297,15.036,27.090,21.434,0.589
16.324,15.057,27.088,21.422,0.590
16.351,15.079,27.087,21.411,0.591
16.379,15.100,27.085,21.400,0.592
16.406,15.122,27.083,21.389,0.593
16.433,15.143,27.081,21.377,0.594
16.460,15.164,27.079,21.366,0.595
16.487,15.186,27.077,21.355,0.596
16.514,15.207,27.075,21.344,0.597
16.541,15.228,27.074,21.332,0.598
16.568,15.250,27.072,21.321,0.599
16.595,15.271,27.070,21.310,0.600
16.622,15.292,27.068,21.299,0.601
16.649,15.314,27.066,21.287,0.602
16.676,15.335,27.064,21.276,0.603
16.703,15.356,27.063,21.265,0.604
16.730,15.378,27.061,21.254,0.605
16.758,15.399,27.059,21.242,0.606
16.785,15.420,27.057,21.231,0.607
16.812,15.441,27.055,21.220,0.608
16.839,15.463,27.053,21.209,0.609
16.866,15.484,27.052,21.197,0.610
16.893,15.505,27.050,21.186,0.611
16.920,15.526,27.048,21.175,0.612
16.947,15.547,27.046,21.164,0.613
16.974,15.568,27.044,21.152,0.614
17.001,15.590,27.042,21.141,0.615
17.028,15.611,27.041,21.130,0.616
17.055,15.632,27.039,21.119,0.617
17.082,15.653,27.037,21.108,0.618
17.109,15.674,27.035,21.096,0.619
17.136,15.695,27.033,21.085,0.620
17.163,15.716,27.032,21.074,0.621
17.190,15.737,27.030,21.063,0.622
17.217,15.758,27.028,21.051,0.623
17.244,15.779,27.026,21.040,0.624
17.271,15.801,27.024,21.029,0.625
17.298,15.822,27.022,21.018,0.626
17.325,15.843,27.021,21.006,0.627
17.352,15.864,27.019,20.995,0.628
17.379,15.885,27.017,20.984,0.629
17.406,15.906,27.015,20.973,0.630
17.433,15.927,27.013,20.962,0.631
17.460,15.947,27.012,20.950,0.632
17.487,15.968,27.010,20.939,0.633
17.514,15.989,27.008,20.928,0.634
17.542,16.010,27.006,20.917,0.635
17.569,16.031,27.004,20.906,0.636
17.596,16.052,27.002,20.894,0.637
17.623,16.073,27.001,20.883,0.638
17.650,16.094,26.999,20.872,0.639
17.677,16.115,26.997,20.861,0.640
17.704,16.136,26.995,20.849,0.641
17.731,16.156,26.993,20.838,0.642
17.758,16.177,26.992,20.827,0.643
17.784,16.198,26.990,20.816,0.644
17.811,16.219,26.988,20.805,0.645
17.838,16.240,26.986,20.793,0.646
17.865,16.261,26.984,20.782,0.647
17.892,16.281,26.982,20.771,0.648
17.919,16.302,26.981,20.760,0.649
17.946,16.323,26.979,20.749,0.650
17.973,16.344,26.977,20.737,0.651
18.000,16.364,26.975,20.726,0.652
18.027,16.385,26.973,20.715,0.653
18.054,16.406,26.972,20.704,0.654
18.081,16.427,26.970,20.693,0.655
18.108,16.447,26.968,20.681,0.656
18.135,16.468,26.966,20.670,0.657
18.162,16.489,26.964,20.659,0.658
18.189,16.509,26.963,20.648,0.659
18.216,16.530,26.961,20.637,0.660
18.243,16.550,26.959,20.626,0.661
18.270,16.571,26.957,20.614,0.662
18.297,16.592,26.955,20.603,0.663
18.324,16.612,26.954,20.592,0.664
18.351,16.633,26.952,20.581,0.665
18.378,16.654,26.950,20.570,0.666
18.405,16.674,26.948,20.558,0.667
18.432,16.695,26.946,20.547,0.668
18.459,16.715,26.945,20.536,0.669
18.486,16.736,26.943,20.525,0.670
18.513,16.756,26.941,20.514,0.671
18.540,16.777,26.939,20.503,0.672
18.566,16.797,26.937,20.491,0.673
18.593,16.818,26.936,20.480,0.674
18.620,16.838,26.934,20.469,0.675
18.647,16.859,26.932,20.458,0.676
18.674,16.879,26.930,20.447,0.677
18.701,16.900,26.928,20.436,0.678
18.728,16.920,26.927,20.424,0.679
18.755,16.940,26.925,20.413,0.680
18.782,16.961,26.923,20.402,0.681
18.809,16.981,26.921,20.391,0.682
18.836,17.002,26.920,20.380,0.683
18.863,17.022,26.918,20.369,0.684
18.890,17.042,26.916,20.357,0.685
18.917,17.063,26.914,20.346,0.686
18.943,17.083,26.912,20.335,0.687
18.970,17.103,26.911,20.324,0.688
18.997,17.124,26.909,20.313,0.689
19.024,17.144,26.907,20.302,0.690
19.051,17.164,26.905,20.290,0.691
19.078,17.185,26.903,20.279,0.692
19.105,17.205,26.902,20.268,0.693
19.132,17.225,26.900,20.257,0.694
19.159,17.245,26.898,20.246,0.695
19.186,17.266,26.896,20.235,0.696
19.212,17.286,26.895,20.224,0.697
19.239,17.306,26.893,20.212,0.698
